Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,f_predicted_X,f_predicted_Y,f_predicted_Z
-1.6213824875356,0.0980198940408634,2.64906287193298,-1.50210389125839,0.633293558962994,-0.0508368760347366,-0.09140590287745,0.135049345791341,9.67110706329346
-1.53874876740078,-2.00791221562216,2.67418432235718,1.4771702500202,0.587690968430288,-0.208023503422737,-0.0887514434754849,0.171446416229011,9.75199485778809
4.42489362577853,-2.45367371283393,2.93078470230103,-1.47645198733626,0.430895312454472,-0.381533801555634,-0.0880445314198732,0.189679189920427,9.74381281852722
8.86584000662672,-0.557925805835489,2.90300726890564,0.0008470887684878,-0.833013173041334,-0.371310204267502,-0.0337576366215944,0.114704725891353,9.76427946090698
8.50896476243767,0.270206042405788,2.88912987709045,0.464443746605244,-0.613506781938608,-0.317221462726593,-0.0450494111329317,0.105499665588142,9.69591086387634
2.75818974395555,-2.03646238073102,2.68238806724548,-1.58787115257097,0.80313981464296,-0.125599294900894,-0.104258307889104,0.156073463112117,9.81113286018372
-6.04844633053143,-2.54888168129589,2.97708749771118,0.632756830764566,-0.481846722443618,-0.416614443063736,-0.0967051649838686,0.105032048374415,9.69159059524536
4.29377849700564,-2.50152513705815,2.93290519714355,-1.40330212109571,0.553634083993152,-0.325048506259918,-0.0696849640458822,0.159154498130084,9.73099235534668
2.76039244107089,-3.22237522218124,2.44599390029907,-5.62579184965869,2.23369949740552,0.290651112794876,-0.272530970275402,0.614612882733345,9.43800521850586
6.84402211812835,-2.7935223669812,2.98728227615356,-1.05183227797557,-0.11622871723199,-0.40757828950882,-0.0581140870600939,0.134835257232191,9.68387930870056
17.1046072284807,-3.26782314221661,2.01383566856384,0.602326653011877,-1.40225363500232,-0.939888417720795,-0.15989755243063,-0.118172903433441,10.4615552997589
-5.17680310537417,0.863695460459874,2.92558145523071,-0.999058150608669,-0.053804768032821,-0.38872966170311,-0.0773400728404522,0.130175426602365,9.70458152770996
5.90792629056006,-2.92727749269368,2.90774607658386,-1.30307953860139,0.187156693287009,-0.295165538787842,-0.063356331884861,0.14527967810631,9.75666927337647
-1.48112247517715,0.0452687360293768,2.63359308242798,-1.51335432268709,0.650743972803548,-0.0426053665578365,-0.0943889120221138,0.135446562916042,9.69130373001099
9.00874416991559,-1.44941641467437,2.73984527587891,-0.301553653706813,-0.777415272961217,-0.145223543047905,-0.0888171523809433,0.0612253461405646,9.78770986557007
-20.1484888450282,-2.03290719436978,1.34798419475555,3.4001779310959,1.23796959482953,0.698789775371552,-0.323301343619823,0.277291770577432,10.4789481735229
-4.37667464871996,-2.86930736784858,3.03096079826355,1.01897362919439,-0.0065846645789454,-0.441267728805542,-0.100070670098066,0.115328437089921,9.64868175506592
-6.71371639862932,-1.66061266260481,2.53218078613281,0.235374045459499,-0.820939109938417,-0.0180766247212887,-0.0267450062558055,0.0384171710535896,9.84320525169373
-5.6086051983207,-2.7877503499931,2.61079955101013,0.898727480764002,-0.237452638628743,-0.218881592154503,-0.0797807167470455,0.0852713648974907,9.8448427772522
-6.08601459755682,0.481130534082981,2.76467990875244,-0.727035277828898,-0.421904134592301,-0.195430055260658,-0.0729785457998514,0.0733701694756757,9.77040782928467
-6.16512432549924,0.494817041646207,2.90064001083374,-0.731488008408698,-0.418916355861445,-0.387237936258316,-0.0828015037998557,0.106394043713809,9.77137124061584
8.62134910628015,0.172089250898519,2.78069472312927,0.405782281279237,-0.630165946409082,-0.206478387117386,-0.0797393661737442,0.0615863853320491,9.82681990623474
-6.78995996772019,-0.364226426863454,2.76804184913635,-0.366048466186108,-0.80469876266209,-0.183363452553749,-0.086308862939477,0.0782239120453607,9.73882919311524
7.63798479020645,-2.62161293473883,2.94090247154236,-0.850236582944396,-0.307633300893911,-0.368275314569473,-0.0491974045336246,0.120288315266372,9.67777773857117
3.23890970601169,0.220235492184073,2.7303786277771,1.5022105963283,0.613361492135447,-0.25223171710968,-0.102779014632106,0.197929168045522,9.80123441696167
-3.7915011672142,0.831565126776826,2.76627588272095,-1.29955755432589,0.288916351967647,-0.234355166554451,-0.0726998841017485,0.115653773546221,9.88859755516052
